MeasurementDateGMT,Bexley - Belvedere West: Nitric Oxide (ug/m3),Bexley - Belvedere West: Nitrogen Dioxide (ug/m3),Bexley - Belvedere West: Oxides of Nitrogen (ug/m3),Bexley - Belvedere West: Ozone (ug/m3),Bexley - Belvedere West: PM10 Particulate (ug/m3)
2016-01-01 00:00,0.6,24.5,25.4,33.3,
2016-01-01 01:00,1.6,30.5,32.9,25.3,
2016-01-01 02:00,1,28.1,29.7,26.3,
2016-01-01 03:00,3.8,31.7,37.5,18,
2016-01-01 04:00,1,25.7,27.2,21.3,
2016-01-01 05:00,2.1,32.5,35.7,12.7,
2016-01-01 06:00,2.8,33.3,37.6,5.3,
2016-01-01 07:00,3.6,37.1,42.7,3.9,
2016-01-01 08:00,12.8,38.7,58.3,3.7,
2016-01-01 09:00,5.6,30.6,39.2,20.1,
2016-01-01 10:00,2.9,24,28.4,35.4,
2016-01-01 11:00,5.2,29.5,37.4,28.3,
2016-01-01 12:00,3.4,22.5,27.7,33.9,
2016-01-01 13:00,3.7,25.6,31.2,29.8,
2016-01-01 14:00,1,17.3,18.8,44,
2016-01-01 15:00,0.5,11.9,12.6,46.2,
2016-01-01 16:00,0.2,9,9.3,44.5,
2016-01-01 17:00,0.6,8.6,9.5,47.1,
2016-01-01 18:00,0.3,7.8,8.2,50.1,
2016-01-01 19:00,0.1,6.7,6.8,53,
2016-01-01 20:00,-0.2,6.5,6.2,54.8,
2016-01-01 21:00,0.4,6.1,6.8,54.1,
2016-01-01 22:00,0.3,5.8,6.2,51.7,
2016-01-01 23:00,0.1,3.7,3.8,49,
2016-01-02 00:00,0.2,3.2,3.6,48.1,
2016-01-02 01:00,-0.2,2.4,2.1,48.2,
2016-01-02 02:00,-0.1,2.3,2.1,47.8,
2016-01-02 03:00,0,2.2,2.1,45.3,
2016-01-02 04:00,0.2,3.4,3.7,41.8,
2016-01-02 05:00,0,4.3,4.3,42.1,
2016-01-02 06:00,0,6.3,6.3,42.3,
2016-01-02 07:00,0.3,4.8,5.3,49.4,
2016-01-02 08:00,0.4,5.8,6.5,50.9,
2016-01-02 09:00,0.5,5.4,6,56.3,
2016-01-02 10:00,0.9,6.7,8.1,56.6,
2016-01-02 11:00,1,6.4,7.9,58.5,
2016-01-02 12:00,1.1,6,7.7,57.4,
2016-01-02 13:00,0.6,6.4,7.3,57.7,
2016-01-02 14:00,0.7,8.5,9.6,54.7,
2016-01-02 15:00,0.8,12.2,13.4,48.8,
2016-01-02 16:00,1.2,20.1,22,41.4,
2016-01-02 17:00,0.9,15.9,17.3,44.2,
2016-01-02 18:00,0.8,14.3,15.5,41.9,
2016-01-02 19:00,0.9,15.9,17.3,38.2,
2016-01-02 20:00,0.7,16.5,17.6,36.7,
2016-01-02 21:00,1,15,16.5,36.1,
2016-01-02 22:00,0.8,14.4,15.6,36.2,
2016-01-02 23:00,0.6,12.9,13.8,37.3,
2016-01-03 00:00,0.3,7.6,8.1,41.8,
2016-01-03 01:00,0,2.8,2.7,54.6,
2016-01-03 02:00,0.3,1.1,1.6,59.7,
2016-01-03 03:00,0,0.1,0.1,66.5,
2016-01-03 04:00,0,1.6,1.6,66.8,
2016-01-03 05:00,-0.1,3.2,3.1,65.1,
2016-01-03 06:00,0.2,8.6,8.9,56.6,
2016-01-03 07:00,0.3,11.4,11.8,55,
2016-01-03 08:00,0.4,11.7,12.3,55.7,
2016-01-03 09:00,0.3,7.3,7.8,59.1,
2016-01-03 10:00,0.7,5.4,6.4,63.7,
2016-01-03 11:00,0.4,5.5,6.1,63.1,
2016-01-03 12:00,0.6,5.6,6.5,60.2,
2016-01-03 13:00,0.6,6.5,7.4,57.8,
2016-01-03 14:00,0.7,7.6,8.7,56.1,
2016-01-03 15:00,1,11,12.5,49.1,
2016-01-03 16:00,1,20.5,22,49,
2016-01-03 17:00,0.7,30.5,31.6,42.2,
2016-01-03 18:00,3.4,49.5,54.8,18.5,
2016-01-03 19:00,28.2,65.3,108.6,3.5,
2016-01-03 20:00,17.2,67.2,93.5,7.5,
2016-01-03 21:00,4.9,51.8,59.3,18,
2016-01-03 22:00,0.7,23.8,25,42.4,
2016-01-03 23:00,0.6,14,14.9,50.9,
2016-01-04 00:00,0.7,12.4,13.5,50.6,
2016-01-04 01:00,0.2,10.9,11.3,49.8,
2016-01-04 02:00,0,5.6,5.5,57.2,
2016-01-04 03:00,0.2,4.8,5.2,58.2,
2016-01-04 04:00,-0.1,4.5,4.4,59.2,
2016-01-04 05:00,0.4,8.9,9.4,54.2,
2016-01-04 06:00,0.8,18,19.3,46.7,
2016-01-04 07:00,1.7,25.5,28.1,40.1,
2016-01-04 08:00,3.1,32.2,37,38,
2016-01-04 09:00,2.9,24.4,28.7,43,
2016-01-04 10:00,2.7,18.7,22.8,47,
2016-01-04 11:00,2.5,15.4,19.2,54,
2016-01-04 12:00,2.5,13.1,17,57.7,
2016-01-04 13:00,1.7,15.7,18.3,51.8,
2016-01-04 14:00,3,24.7,29.3,41.7,
2016-01-04 15:00,3.7,32.6,38.2,34.5,
2016-01-04 16:00,3.7,41.1,46.7,26.2,
2016-01-04 17:00,2.8,41.9,46.2,26,13.6
2016-01-04 18:00,2.7,39.9,44,27.6,13.9
2016-01-04 19:00,1.4,23.6,25.8,46.9,7.9
2016-01-04 20:00,0.9,18.4,19.7,51.2,6.5
2016-01-04 21:00,1,13.4,15,54.2,9.1
2016-01-04 22:00,0.5,9.2,10,59.5,8.3
2016-01-04 23:00,0.3,5.2,5.6,62.1,11.3
2016-01-05 00:00,0.1,4.7,4.8,61.7,10.1
2016-01-05 01:00,-0.1,1.8,1.6,63.8,7.1
2016-01-05 02:00,0.1,1,1.2,63.3,8.1
2016-01-05 03:00,-0.1,2.5,2.3,57.8,10
2016-01-05 04:00,0,3.8,3.8,53.3,4.9
2016-01-05 05:00,0.4,8.7,9.3,47.3,6.3
2016-01-05 06:00,1.4,22.8,25.1,31.9,8.5
2016-01-05 07:00,4.2,45.3,51.8,12.4,7.3
2016-01-05 08:00,29.7,62.4,108,2.9,11.7
2016-01-05 09:00,26.2,56.4,96.6,7.3,14.3
2016-01-05 10:00,21.3,46.3,79,14.2,14.1
2016-01-05 11:00,8.4,31.3,44.1,32.8,11.5
2016-01-05 12:00,6.4,27.7,37.5,36.6,11
2016-01-05 13:00,6.3,30.4,40,37,13
2016-01-05 14:00,3.5,31.4,36.8,36.1,13.1
2016-01-05 15:00,12.8,52.8,72.4,11.6,18.2
2016-01-05 16:00,5.1,53.4,61.2,13.4,15.5
2016-01-05 17:00,7.9,60.5,72.6,7.4,13.3
2016-01-05 18:00,4.9,51.9,59.5,11.1,13.2
