MeasurementDateGMT,Hackney - Old Street: Nitric Oxide (ug/m3),Hackney - Old Street: Nitrogen Dioxide (ug/m3),Hackney - Old Street: Oxides of Nitrogen (ug/m3),Hackney - Old Street: Ozone (ug/m3),Hackney - Old Street: PM10 Particulate (ug/m3)
2016-01-01 00:00,45.1,64.1,133.3,8.8,67.5
2016-01-01 01:00,44.2,68,135.7,5.7,26.6
2016-01-01 02:00,43.8,67.9,135.9,3.8,31.7
2016-01-01 03:00,63.6,68.5,166,2.8,35.3
2016-01-01 04:00,50,67.1,143.8,4.3,26.4
2016-01-01 05:00,52.6,69.5,150.1,3.3,28
2016-01-01 06:00,36.1,59.2,114.5,2.4,22.2
2016-01-01 07:00,79,64.1,185.2,1.9,24.2
2016-01-01 08:00,47.8,54.7,128,1.9,20.7
2016-01-01 09:00,32,52.1,101.2,4.3,12.9
2016-01-01 10:00,9.7,42.9,57.7,16.6,11.2
2016-01-01 11:00,8.2,38.2,50.8,20.9,15.7
2016-01-01 12:00,11.5,35.3,52.9,24.2,14.8
2016-01-01 13:00,6.7,33.5,43.8,28.4,12.2
2016-01-01 14:00,8.2,34.7,47.2,27,19
2016-01-01 15:00,9.3,30.6,44.8,26.5,18.9
2016-01-01 16:00,6,22.9,32.1,27.5,12.7
2016-01-01 17:00,9.3,27.1,41.3,29.4,11.4
2016-01-01 18:00,8.9,25.3,39,31.8,13.1
2016-01-01 19:00,9.6,24.7,39.5,33.2,13.4
2016-01-01 20:00,5.2,21.2,29.2,36,13.8
2016-01-01 21:00,6,23.5,32.6,35.1,13.1
2016-01-01 22:00,9.3,25.3,39.5,29.9,13.3
2016-01-01 23:00,11.8,22.8,43.5,26.1,13
2016-01-02 00:00,6,19.6,28.7,28.4,9.8
2016-01-02 01:00,3,14.9,19.5,30.3,6.9
2016-01-02 02:00,2.3,12.3,15.8,31.8,6.2
2016-01-02 03:00,2.3,12.3,15.8,30.8,9
2016-01-02 04:00,1.5,13.5,15.8,29.4,10.6
2016-01-02 05:00,1.5,12.3,14.7,31.3,12
2016-01-02 06:00,3,16.4,21,31.8,14.3
2016-01-02 07:00,3.7,19.4,25.1,30.3,12.8
2016-01-02 08:00,7.8,24.7,36.6,28.4,14.2
2016-01-02 09:00,6.3,23.5,33.1,37,12
2016-01-02 10:00,9.9,26.5,41.7,33.7,11.2
2016-01-02 11:00,15.1,34.8,57.9,31.8,11.9
2016-01-02 12:00,7.7,25.3,37.1,37.4,6.6
2016-01-02 13:00,9.2,31.7,45.8,34.6,5.8
2016-01-02 14:00,11,31.8,48.7,29.9,7.7
2016-01-02 15:00,17.6,44.7,71.8,19.9,10
2016-01-02 16:00,32.7,53.2,103.2,14.2,14.6
2016-01-02 17:00,33.4,53.2,104.4,12.8,11
2016-01-02 18:00,28.6,50.2,94.1,12.3,12.7
2016-01-02 19:00,32.3,55.5,105,10.9,13.9
2016-01-02 20:00,36.3,47.4,103,12.8,11.3
2016-01-02 21:00,36.3,50.3,106,8.1,12.7
2016-01-02 22:00,36.3,54.4,110,8.1,9.7
2016-01-02 23:00,32.3,49,98.5,8.5,16.3
2016-01-03 00:00,27.4,41,83,13.9,7.3
2016-01-03 01:00,20.5,37.7,69.2,26.5,4.3
2016-01-03 02:00,20.2,32.2,62.8,32.2,4.8
2016-01-03 03:00,16.9,29.5,55.3,37.9,5.5
2016-01-03 04:00,20.2,35.4,66.3,33.7,6.8
2016-01-03 05:00,9.1,32.9,46.9,35.5,6.8
2016-01-03 06:00,10.6,37.6,53.8,33.2,6.8
2016-01-03 07:00,8.8,40.5,53.9,28.9,11.3
2016-01-03 08:00,5.1,31.6,39.5,36,14.8
2016-01-03 09:00,4.4,24,30.7,38.4,13.9
2016-01-03 10:00,4,20.5,26.6,44.6,5.6
2016-01-03 11:00,4.7,20.5,27.8,44.6,3.2
2016-01-03 12:00,10.6,27,43.3,37.9,3.1
2016-01-03 13:00,10.6,25.3,41.5,34.6,3.2
2016-01-03 14:00,6.9,22.9,33.5,37.9,5.3
2016-01-03 15:00,12.8,45.8,65.4,34.1,5.2
2016-01-03 16:00,26,61.1,101,25.1,9.3
2016-01-03 17:00,32.2,67.7,117.1,14.7,11.9
2016-01-03 18:00,36.6,73,129.1,11.4,16.3
2016-01-03 19:00,43.6,77.2,144,6.6,17.4
2016-01-03 20:00,52,69.1,148.9,7.1,25.6
2016-01-03 21:00,25.6,65.8,105.1,10,22.9
2016-01-03 22:00,26.7,60,100.9,11.4,23.6
2016-01-03 23:00,25.2,55.9,94.5,14.2,23.2
2016-01-04 00:00,26.3,54.1,94.5,12.6,22.7
