MeasurementDateGMT,Westminster - Marylebone Road: Carbon Monoxide (mg/m3),Westminster - Marylebone Road: Nitric Oxide (ug/m3),Westminster - Marylebone Road: Nitrogen Dioxide (ug/m3),Westminster - Marylebone Road: Oxides of Nitrogen (ug/m3),Westminster - Marylebone Road: Ozone (ug/m3),Westminster - Marylebone Road: PM10 Particulate (ug/m3),Westminster - Marylebone Road: Sulphur Dioxide (ug/m3)
2016-01-01 00:00,0.9,130.1,88.9,288.4,5.3,50.6,7.8
2016-01-01 01:00,1.2,258.2,125.1,521,2.9,51.9,9.1
2016-01-01 02:00,0.9,193.2,126.4,422.6,3.4,54.5,9.3
2016-01-01 03:00,0.9,179,106.2,380.6,2.8,53.9,8.7
2016-01-01 04:00,0.9,139.5,97.6,311.5,2.3,45.9,7.9
2016-01-01 05:00,0.8,141.3,102.9,319.6,2.6,38.5,7.6
2016-01-01 06:00,0.8,149.9,85.6,315.4,2.5,33.9,7.2
2016-01-01 07:00,0.9,120.6,77.9,262.8,2.2,32,7.9
2016-01-01 08:00,0.6,99.7,80.5,233.3,5.8,26.3,6.6
2016-01-01 09:00,0.3,77.5,65.5,184.4,16.9,18.7,5.6
2016-01-01 10:00,0.3,72.5,65.9,177.1,18,18.6,4.9
2016-01-01 11:00,0.5,83,65.7,193,15.9,20.2,4.3
2016-01-01 12:00,0.4,70.5,64.1,172.1,21.2,24,4
2016-01-01 13:00,0.4,82.7,70.9,197.8,18.6,25,4.4
2016-01-01 14:00,0.5,73,73.2,185.1,17.5,25.6,4.2
2016-01-01 15:00,0.4,71.6,55.8,165.6,18.9,19.4,3.9
2016-01-01 16:00,0.5,77.5,50.9,169.8,16.6,17.9,3.9
2016-01-01 17:00,0.5,63,58.4,155,19.5,23.1,3.6
2016-01-01 18:00,0.5,57.9,62.8,151.5,21.8,23.1,3.6
2016-01-01 19:00,0.4,54.5,51.9,135.5,23.9,26.4,3.1
2016-01-01 20:00,0.5,39.3,54.6,114.9,28.1,19.5,3.3
2016-01-01 21:00,0.5,22.9,35.9,71,30.5,18.8,2.6
2016-01-01 22:00,0.4,17.7,43,70.1,28.2,21.6,2.2
2016-01-01 23:00,0.4,22.5,34.3,68.8,27.2,17,2
2016-01-02 00:00,0.4,17.5,38.5,65.4,26.1,13.4,1.8
2016-01-02 01:00,0.4,15,33.4,56.3,28.5,10.7,2.1
2016-01-02 02:00,0.4,14,26.8,48.2,28.8,12.2,2.3
2016-01-02 03:00,0.4,12.7,24.1,43.6,28.5,11.6,2.3
2016-01-02 04:00,0.5,14.5,22.7,44.9,28.3,12.4,2.4
2016-01-02 05:00,0.4,12.8,24.8,44.5,29.1,16.1,2.5
2016-01-02 06:00,0.6,106.5,70.7,234.1,17.4,17.9,3.8
2016-01-02 07:00,0.5,46.4,49.9,121.1,23.7,15.5,4.8
2016-01-02 08:00,0.4,62.7,53.4,149.6,21.7,18.4,4
